,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
99,99,2.25,0.02,595,1,100000.0,,143.0,0.143,595.0,0.0286425862483383,0.0201997151721912,0.0061915598806843,2894266687888.4414,2130700000000.0,1796401133503.2695,21.090559289951425,2.997841830306517,60675201014088.59,44667843271567.11,37659625608574.44,7.469972881111528e-05,5.499241408674853e-05,4.636430985099555e-05,4.266570780204054e-05,3.140962233861422e-05,2.648156998732632e-05
100,100,2.25,0.02,600,1,100000.0,,137.5,0.1374999999999999,600.0,0.0368794460974868,0.0156904186452069,0.0064976072364332,2770783743894.7505,2048750000000.0,1724875779414.6587,16.64014940195025,2.2842939436711087,46031160184735.55,34035979760699.52,28655442156377.36,7.212961767191394e-05,5.333348534722275e-05,4.4902324396432525e-05,4.116665914725547e-05,3.043911063567412e-05,2.562717983277482e-05
101,101,2.25,0.02,605,1,100000.0,,166.5,0.1664999999999999,605.0,0.034511723723483,0.02488111783177,0.0054981345778876,3340436593258.874,2480765725452.6787,2085721616773.3584,17.53449201116338,2.920444681830416,58591953656303.84,43513147566158.85,36583991612519.46,8.769331057831655e-05,6.512518743004482e-05,5.475446948722853e-05,5.000762132200285e-05,3.7138017598476e-05,3.122405526427383e-05
102,102,2.25,0.02,610,1,100000.0,,157.5,0.1575,610.0,0.0270610327897884,0.018301624382089,0.0072244659991417,3150000000000.0,2342025453799.6016,1970193013642.192,23.684807895091197,3.696534898500596,73930697970011.9,54967484591409.016,46240553852129.664,8.338969499207757e-05,6.200025024000977e-05,5.21567601533792e-05,4.751804931619264e-05,3.5329676512199335e-05,2.972054882052948e-05
103,103,2.25,0.02,615,1,100000.0,,141.5,0.1415,615.0,0.0296391511918159,0.0107324708043202,0.0064370681696226,2827981584888.5137,2099932436110.036,1768750000000.0002,21.17154990268712,2.9942798453451305,59842885248331.14,44436645724599.17,37428498066814.14,7.549808017271364e-05,5.6061492148990585e-05,4.7219978382833656e-05,4.2976712714282994e-05,3.1912581577034295e-05,2.687961655039729e-05
104,104,2.25,0.02,620,1,100000.0,,141.5,0.1414999999999999,620.0,0.0211240611907327,0.0139288032700223,0.0068777421521584,2815462760203.55,2095759464520.7463,1768750000000.0,29.98227123533972,4.227257559253985,84110856790590.42,62610000274017.02,52840719490674.81,7.578054935903367e-05,5.6409129536593245e-05,4.76073946256353e-05,4.3106111797245496e-05,3.2087102360123313e-05,2.70804275300966e-05
105,105,2.25,0.02,625,1,100000.0,,144.5,0.1445,625.0,0.0276397431395025,0.0195699416271531,0.0074898012395882,2862370308709.793,2135931083045.0195,1806250000000.0,23.359984452122283,3.3817863079419244,66989098396223.375,49987975718679.68,42272328849274.055,7.767588594139585e-05,5.796256993039828e-05,4.9016043994980896e-05,4.41412848619729e-05,3.293869493242831e-05,2.7854605513245685e-05
106,106,2.25,0.02,630,1,100000.0,,149.5,0.1495,630.0,0.0315877229807028,0.0095251736034529,0.0050737231225081,2948187404109.484,2205429833925.768,1868750000000.0,19.951298866145628,2.980317756392465,58772811168161.23,43965763842987.63,37253971954905.81,8.066258924705861e-05,6.034069630688801e-05,5.112911528124926e-05,4.579594765970064e-05,3.425825274906981e-05,2.9028404730911543e-05
107,107,2.25,0.02,635,1,100000.0,,155.0,0.155,635.0,0.0358963013406423,0.0144103945013003,0.0030273451702077,3042935881776.3105,2281994949200.636,1937500000000.0,17.69005127766294,2.74177664256563,53826132422446.05,40365938388200.27,34272208032070.37,8.394043339137849e-05,6.294961592191685e-05,5.344660420542876e-05,4.762139771319061e-05,3.5712809364862016e-05,3.03215255444181e-05
108,108,2.25,0.02,640,1,100000.0,,158.0,0.158,640.0,0.0279956028800824,0.0179897629963625,0.00756629076924,3087852702325.8545,2322600000000.0,1975000000000.0,23.468126647959952,3.673984518723215,71802044458498.94,54007572425231.26,45924806484040.19,8.58691815106662e-05,6.45884956968478e-05,5.4922190218408e-05,4.868863492387078e-05,3.662228557372706e-05,3.114139929738696e-05
